Released Date,Movie,Worldwide,India Telugu Net,India Gross,Overseas,Budget,Verdict,Genres,Industry,Original Languages,Dubbed Languages,Status,Region,India Malayalam Net,India Hindi Net,India Gujarati Net,India Marathi Net,India Bengali Net
25 Dec,Solo Brathuke So Better,22.3,18.1,21.1,1.2,20,Hit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,Shivan,0.25,0.2,0.23,0.02,2,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,Eureka,0.35,0.25,0.3,0.05,3,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,Madha,0.5,0.35,0.42,0.08,3,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,Arjuna,0.35,0.25,0.3,0.05,3,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Mar,302,0.07,0.05,0.07,0,2,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Mar,College Kumar,0.47,0.16,0.47,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Mar,Palasa 1978,3.2,2.5,2.95,0.25,5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Mar,O Pitta Katha,0.9,0.77,0.9,0,5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Mar,Anukunnadi Okati Ayindi Okkati,0.11,0.09,0.11,0,5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Feb,HIT,8,6.6,7.5,0.5,4,Above Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
28 Feb,Raahu,0.6,0.5,0.6,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
21 Feb,Valayam,4.5,3.7,4.3,0.2,7,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
21 Feb,Pressure Cooker,0.6,0.5,0.6,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
21 Feb,Bheeshma,52,35.6,42,10,20,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
21 Feb,Cheema Prema Madhyalo Bhaama,0.64,0.55,0.64,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Feb,World Famous Lover,17,11.5,14.5,2.5,35,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Feb,Oka Chinna Viramam,1.4,1.1,1.28,0.12,2,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Feb,Life Anubavinchu Raja,0.64,0.55,0.64,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Feb,Jaanu,11.9,8.1,9.4,2.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Feb,Neevalle Nenunna,0.52,0.45,0.52,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
07 Feb,Degree College,0.52,0.45,0.52,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Jan,Choosi Choodangane,3.5,2.8,3.25,0.25,3,Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Jan,Disco Raja,26,21,24,2,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Jan,Street Dancer 3D,102,0.14,87,15,100,Below Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Jan,Dolittle,450,0.13,7.5,203,1230,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
15 Jan,Entha Manchivaadavuraa,25,19.1,22.1,2.9,15,Hit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Jan,Ala Vaikunthapurramuloo,269.35,200.98,233.35,36,120,All Time Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
11 Jan,Sarileru Neekevvaru,221.7,169.55,196.7,25,100,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
09 Jan,Darbar,247.8,13.47,173.8,74,200,Below Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Jan,"Wife,i",0.1,0.09,0.1,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Jan,Uttara,0.16,0.13,0.16,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Jan,Namaste Nestama,0.8,0.58,0.8,0,5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Jan,Hulchul,0.09,0.08,0.09,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Jan,Oollalla Oollalla,2,1.96,2,0,10,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Jan,Beautiful,1.4,1.18,1.4,0,8,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
31 Dec,Arjuna Phalguna,-,0,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Dec,Shyam Singha Roy,49,42.83,43.5,5.5,1,Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Dec,83,193,0.36,129,64,220,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Dec,Pushpa: The Rise (Part 1),350.1,136.43,313.8,36.3,150,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
16 Dec,Spider-Man: No Way Home,15700,2.22,271,9010,1500,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Dec,Lakshya,-,0,0,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Dec,Skylab,-,2.01,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
02 Dec,Marakkar: Lion of the Arabian Sea,45.4,0.22,22.4,23,100,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
02 Dec,Akhanda,117,89,103.3,13.7,40,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
26 Nov,Anubhavinchu Raja,-,2.67,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Ram Asur,0.22,0.19,0.22,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Poster,0.15,0.12,0.15,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Ghostbusters: Afterlife,0.23,0.2,0.23,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Chalo Premiddam,0.03,0.025,0.03,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Mr. Lonely,0.003,0.003,0.003,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Missing - Search vs Revenge,0.41,0.36,0.41,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Street Light,0.12,0.1,0.12,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Nov,Ravana Lanka,0.07,0.06,0.07,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Nov,Kapata Nataka Sutradhari,0.001,0.001,0.001,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Nov,The Trip,0.001,0.001,0.001,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Nov,Pushpaka Vimanam,0.65,2.65,0.65,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Nov,Kurup,78,4.01,43.9,34.1,35,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
12 Nov,Raja Vikramarka,1.1,3.85,1,0.1,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
05 Nov,Eternals,1300,0.34,32.6,670,1500,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Nov,Manchi Rojulochaie,3.65,3.9,3.35,0.3,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Nov,Enemy,25,3.8,20,5,35,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
04 Nov,Annaatthe,172,6.1,124.3,47.7,180,Below Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Oct,Eakam,0.03,0.03,0.003,0.027,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Oct,Romantic,4,6.59,3.85,0.15,7,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Oct,Bhajarangi 2,-,0,0,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Oct,Varudu Kaavalenu,4.3,5.43,3,1.3,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Oct,Thamasoma Jyothirgamaya,0.02,0.02,0.02,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Oct,O Madhu,0.003,0.003,0.003,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Oct,Mr. Premikudu,0.003,0.003,0.003,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
29 Oct,Mission 2020,0.1,0.09,0.1,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Oct,Pyar Hi Pyar,0.038,0.034,0.038,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Oct,Natyam,0.53,0.45,0.53,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Oct,Madhura Wines,0.23,0.19,0.23,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Oct,Click,0.008,0.007,0.008,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
22 Oct,Asalem Jarigindi,0.15,0.13,0.15,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
15 Oct,Pelli SandaD,11.1,9.41,10.95,0.15,7,Hit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
15 Oct,Most Eligible Bachelor,38,29.01,33.7,4.3,30,SuperHit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Oct,Venom: Let There Be Carnage,4200,0.15,28.5,2425,820,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Oct,Maha Samudram,9.7,8.1,8.7,1,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Oct,GST (God Saithan Technology),0.005,0.005,0.005,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
09 Oct,Doctor,100.5,3.17,80.5,20,35,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Oct,Aaradugula Bullet,1.05,0.93,1.05,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
08 Oct,Konda Polam,5.65,4.37,5.15,0.5,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
02 Oct,Idhe Maa Katha,0.09,0.08,0.09,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Oct,The Rose Villa,0.002,0.002,0.002,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Oct,Republic,11.5,8.91,10,1.5,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
30 Sep,No Time To Die,1100,0.3,19.2,1100,1850,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Sep,Maro Prasthanam,0.015,0.014,0.015,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Sep,Cinderella,0.017,0.008,0.017,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
24 Sep,Love Story,59,39.3,45.6,13.4,27,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Sep,Plan B,0.004,0.004,0.004,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Sep,Honey Trap,0.005,0.005,0.005,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Sep,Gem,0.0001,0.0001,0.0001,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Sep,Don't Breathe 2,-,0,-,-,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Sep,Gully Rowdy,1,5.26,1,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
17 Sep,Kodiyil Oruvan,9.4,0.25,9.4,0,11,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Sep,Thalaivii,8.5,0.64,8.5,0,60,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Sep,Jathiya Rahadari,0.003,0.003,0.003,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Sep,Seetimaarr,14.2,13.28,14,0.2,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
09 Sep,Laabam,2.5,0.37,2.3,0.2,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Sep,The Killer,0.004,0.035,0.004,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Sep,Dear Megha,0.1,0.08,0.1,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Sep,Asmee,0.005,0.005,0.005,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Sep,Appudu Ippudu,0.01,0.02,0.01,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Sep,Nootokka Jillala Andagadu,0.6,0.78,0.5,0.1,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
03 Sep,Shang-Chi and the Legend of the Ten Rings,930,0.49,12.63,410,1150,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
27 Aug,Suryasthamayam,0.1,0.08,0.1,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
27 Aug,House Arrest,0.15,0.12,0.15,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
27 Aug,Ichata Vahanamulu Nilupa Radu,0.8,0.7,0.75,0.05,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
27 Aug,Sridevi Soda Center,6.8,6.13,6.5,0.3,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
20 Aug,Cheruvaina Dooramaina,0.01,0.01,0.01,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
20 Aug,Bazar Rowdy,0.02,0.02,0.02,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Aug,Crazy Uncles,0.16,0.13,0.16,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
19 Aug,Raja Raja Chora,8.4,6,7,1.4,1,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Aug,Rythanna,0.04,0.03,0.04,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
14 Aug,Paagal,10.5,8.42,9.8,0.7,10,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Aug,Brandy Diaries,0.008,0.007,0.008,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Aug,Chaitanyam,0.003,0.003,0.003,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Aug,Rave Naa Cheliya,0.01,0.009,0.01,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Aug,Sundari,0.006,0.005,0.006,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
13 Aug,Orey Baammardhi,1,0.84,1,0,3,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Aug,MAD - Marriage And Divorce,0.008,0.007,0.008,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Aug,Ippudu Kaaka Inkeppudu,0.018,0.015,0.018,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Aug,Mugguru Monagallu,0.02,0.02,0.02,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Aug,Merise Merise,0.01,0.01,0.01,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Aug,Ksheera Sagara Madhanam,0.005,0.005,0.005,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
06 Aug,SR Kalyana Mandapam,14.1,11.31,13.2,0.9,11,Blockbuster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
30 Jul,Thimmarusu,2.55,2.15,2.55,0,5,Below Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
30 Jul,Ishq - Not a Love Story,1.17,1.01,1.17,0,6,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
30 Jul,Parigettu Parigettu,0.002,0.0017,0.002,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
30 Jul,Trayam,0.009,0.008,0.009,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
30 Jul,Narasimhapuram,0.012,0.012,0.012,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
16 Apr,99 Songs,0.06,0.01,0.06,0,7,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
16 Apr,Checkmate,0.01,0.01,0.01,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
16 Apr,Itlu Anjali,0.02,0.02,0.02,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
16 Apr,Tempt Raja,0.02,0.02,0.02,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
16 Apr,Deyyam,0.4,0.82,0.4,0,5,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
10 Apr,Idhee Kala Khadu,0.01,0.01,0.01,0,1,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
09 Apr,Vakeel Saab,137.5,109.55,127.3,10.2,70,Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
02 Apr,Wild Dog,7.6,5.95,7.05,0.55,25,None,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
02 Apr,Sulthan,45,5.25,35,10,50,Below Average,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
01 Apr,Yuvarathnaa,38.7,0.68,38,0.7,25,Hit,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
27 Mar,Thellavarithe Guruvaram,0.34,0.29,0.34,0,2,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
26 Mar,Ee Kadhalo Paathralu Kalpitam,0.01,0.01,0.01,0,1,Disaster,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
26 Mar,Haathi Mere Saathi/Kaadan/Aranya,7.3,5.65,6.9,0.4,60,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
26 Mar,Rang De,27,20.17,23,4,25,Flop,"Action, Adventure",Tollywood,Telugu,"Hindi, Malayalam, Marathi, Gujarati, Bengali",Released,South India,,,,,
